Driver,Nationality,Team,Points,driverRef,Year
Nico Rosberg,GER,WILLIAMS TOYOTA,3.5,rosberg,2009
Kimi Räikkönen,FIN,FERRARI,3.0,raikkonen,2009
Sebastien Buemi,SUI,STR FERRARI,3.0,buemi,2009
Sebastien Bourdais,FRA,STR FERRARI,1.0,bourdais,2009
Felipe Massa,BRA,FERRARI,0.0,massa,2009
Robert Kubica,POL,SAUBER BMW,0.0,kubica,2009
Giancarlo Fisichella,ITA,FERRARI,0.0,fisichella,2009
Adrian Sutil,GER,FORCE INDIA MERCEDES,0.0,sutil,2009
Kamui Kobayashi,JPN,TOYOTA,0.0,kobayashi,2009
Kazuki Nakajima,JPN,WILLIAMS TOYOTA,0.0,nakajima,2009
Nelson Piquet Jr.,BRA,RENAULT,0.0,piquet_jr,2009
Vitantonio Liuzzi,ITA,FORCE INDIA MERCEDES,0.0,liuzzi,2009
Romain Grosjean,FRA,RENAULT,0.0,grosjean,2009
Jaime Alguersuari,ESP,STR FERRARI,0.0,alguersuari,2009
Luca Badoer,ITA,FERRARI,0.0,badoer,2009
Kimi Räikkönen,FIN,FERRARI,19.0,raikkonen,2008
Nick Heidfeld,GER,SAUBER BMW,16.0,heidfeld,2008
Lewis Hamilton,GBR,MCLAREN MERCEDES,14.0,hamilton,2008
Robert Kubica,POL,SAUBER BMW,14.0,kubica,2008
Heikki Kovalainen,FIN,MCLAREN MERCEDES,14.0,kovalainen,2008
Felipe Massa,BRA,FERRARI,10.0,massa,2008
Jarno Trulli,ITA,TOYOTA,8.0,trulli,2008
Nico Rosberg,GER,WILLIAMS TOYOTA,7.0,rosberg,2008
Fernando Alonso,ESP,RENAULT,6.0,alonso,2008
Mark Webber,AUS,RED BULL RENAULT,4.0,webber,2008
Kazuki Nakajima,JPN,WILLIAMS TOYOTA,3.0,nakajima,2008
Sebastien Bourdais,FRA,STR FERRARI,2.0,bourdais,2008
Takuma Sato,JPN,SUPER AGURI HONDA,0.0,sato,2008
Adrian Sutil,GER,FORCE INDIA FERRARI,0.0,sutil,2008
Giancarlo Fisichella,ITA,FORCE INDIA FERRARI,0.0,fisichella,2008
Jenson Button,GBR,HONDA,0.0,button,2008
Nelson Piquet Jr.,BRA,RENAULT,0.0,piquet_jr,2008
David Coulthard,GBR,RED BULL RENAULT,0.0,coulthard,2008
Rubens Barrichello,BRA,HONDA,0.0,barrichello,2008
Timo Glock,GER,TOYOTA,0.0,glock,2008
Sebastian Vettel,GER,STR FERRARI,0.0,vettel,2008
Anthony Davidson,GBR,SUPER AGURI HONDA,0.0,davidson,2008
Kimi Räikkönen,FIN,FERRARI,22.0,raikkonen,2007
Fernando Alonso,ESP,MCLAREN MERCEDES,22.0,alonso,2007
Lewis Hamilton,GBR,MCLAREN MERCEDES,22.0,hamilton,2007
Felipe Massa,BRA,FERRARI,17.0,massa,2007
Nick Heidfeld,GER,SAUBER BMW,15.0,heidfeld,2007
Giancarlo Fisichella,ITA,RENAULT,8.0,fisichella,2007
Jarno Trulli,ITA,TOYOTA,4.0,trulli,2007
Robert Kubica,POL,SAUBER BMW,3.0,kubica,2007
Nico Rosberg,GER,WILLIAMS TOYOTA,2.0,rosberg,2007
Heikki Kovalainen,FIN,RENAULT,1.0,kovalainen,2007
Ralf Schumacher,GER,TOYOTA,1.0,ralf_schumacher,2007
Mark Webber,AUS,RED BULL RENAULT,0.0,webber,2007
Alexander Wurz,AUT,WILLIAMS TOYOTA,0.0,wurz,2007
Sebastian Vettel,GER,STR FERRARI,0.0,vettel,2007
Jenson Button,GBR,HONDA,0.0,button,2007
David Coulthard,GBR,RED BULL RENAULT,0.0,coulthard,2007
Takuma Sato,JPN,SUPER AGURI HONDA,0.0,sato,2007
Vitantonio Liuzzi,ITA,STR FERRARI,0.0,liuzzi,2007
Adrian Sutil,GER,SPYKER FERRARI,0.0,sutil,2007
Rubens Barrichello,BRA,HONDA,0.0,barrichello,2007
Scott Speed,USA,STR FERRARI,0.0,speed,2007
Kazuki Nakajima,JPN,WILLIAMS TOYOTA,0.0,nakajima,2007
Anthony Davidson,GBR,SUPER AGURI HONDA,0.0,davidson,2007
Christijan Albers,NED,SPYKER FERRARI,0.0,albers,2007
Fernando Alonso,ESP,RENAULT,44.0,alonso,2006
Michael Schumacher,GER,FERRARI,31.0,michael_schumacher,2006
Kimi Räikkönen,FIN,MCLAREN MERCEDES,23.0,raikkonen,2006
Giancarlo Fisichella,ITA,RENAULT,18.0,fisichella,2006
Felipe Massa,BRA,FERRARI,15.0,massa,2006
Juan Pablo Montoya,COL,MCLAREN MERCEDES,15.0,montoya,2006
Jenson Button,GBR,HONDA,13.0,button,2006
Ralf Schumacher,GER,TOYOTA,7.0,ralf_schumacher,2006
Robert Kubica,POL,SAUBER BMW,6.0,kubica,2006
Rubens Barrichello,BRA,HONDA,6.0,barrichello,2006
Mark Webber,AUS,WILLIAMS COSWORTH,6.0,webber,2006
Jacques Villeneuve,CAN,SAUBER BMW,6.0,villeneuve,2006
Nick Heidfeld,GER,SAUBER BMW,5.0,heidfeld,2006
Nico Rosberg,GER,WILLIAMS COSWORTH,4.0,rosberg,2006
Christian Klien,AUT,RBR FERRARI,1.0,klien,2006
David Coulthard,GBR,RBR FERRARI,1.0,coulthard,2006
Jarno Trulli,ITA,TOYOTA,0.0,trulli,2006
Pedro de la Rosa,ESP,MCLAREN MERCEDES,0.0,rosa,2006
Vitantonio Liuzzi,ITA,STR COSWORTH,0.0,liuzzi,2006
Scott Speed,USA,STR COSWORTH,0.0,speed,2006
Tiago Monteiro,POR,MF1 TOYOTA,0.0,monteiro,2006
Christijan Albers,NED,MF1 TOYOTA,0.0,albers,2006
Takuma Sato,JPN,SUPER AGURI HONDA,0.0,sato,2006
Franck Montagny,FRA,SUPER AGURI HONDA,0.0,montagny,2006
Fernando Alonso,ESP,RENAULT,36.0,alonso,2005
Jarno Trulli,ITA,TOYOTA,20.0,trulli,2005
Michael Schumacher,GER,FERRARI,10.0,michael_schumacher,2005
Giancarlo Fisichella,ITA,RENAULT,10.0,fisichella,2005
Nick Heidfeld,GER,WILLIAMS BMW,9.0,heidfeld,2005
Mark Webber,AUS,WILLIAMS BMW,9.0,webber,2005
David Coulthard,GBR,RBR COSWORTH,9.0,coulthard,2005
Ralf Schumacher,GER,TOYOTA,9.0,ralf_schumacher,2005
Rubens Barrichello,BRA,FERRARI,8.0,barrichello,2005
Juan Pablo Montoya,COL,MCLAREN MERCEDES,8.0,montoya,2005
Kimi Räikkönen,FIN,MCLAREN MERCEDES,7.0,raikkonen,2005
Alexander Wurz,AUT,MCLAREN MERCEDES,6.0,wurz,2005
Jacques Villeneuve,CAN,SAUBER PETRONAS,5.0,villeneuve,2005
Pedro de la Rosa,ESP,MCLAREN MERCEDES,4.0,rosa,2005
Christian Klien,AUT,RBR COSWORTH,3.0,klien,2005
Felipe Massa,BRA,SAUBER PETRONAS,2.0,massa,2005
Vitantonio Liuzzi,ITA,RBR COSWORTH,1.0,liuzzi,2005
Jenson Button,GBR,BAR HONDA,0.0,button,2005
Tiago Monteiro,POR,JORDAN TOYOTA,0.0,monteiro,2005
Narain Karthikeyan,IND,JORDAN TOYOTA,0.0,karthikeyan,2005
Christijan Albers,NED,MINARDI COSWORTH,0.0,albers,2005
Patrick Friesacher,AUT,MINARDI COSWORTH,0.0,friesacher,2005
Takuma Sato,JPN,BAR HONDA,0.0,sato,2005
Michael Schumacher,GER,FERRARI,40.0,michael_schumacher,2004
Rubens Barrichello,BRA,FERRARI,24.0,barrichello,2004
Jenson Button,GBR,BAR HONDA,23.0,button,2004
Juan Pablo Montoya,COL,WILLIAMS BMW,18.0,montoya,2004
Fernando Alonso,ESP,RENAULT,16.0,alonso,2004
Jarno Trulli,ITA,TOYOTA,15.0,trulli,2004
Ralf Schumacher,GER,WILLIAMS BMW,9.0,ralf_schumacher,2004
Takuma Sato,JPN,BAR HONDA,4.0,sato,2004
David Coulthard,GBR,MCLAREN MERCEDES,4.0,coulthard,2004
Felipe Massa,BRA,SAUBER PETRONAS,1.0,massa,2004
Mark Webber,AUS,JAGUAR COSWORTH,1.0,webber,2004
Kimi Räikkönen,FIN,MCLAREN MERCEDES,1.0,raikkonen,2004
Giancarlo Fisichella,ITA,SAUBER PETRONAS,0.0,fisichella,2004
Olivier Panis,FRA,TOYOTA,0.0,panis,2004
Christian Klien,AUT,JAGUAR COSWORTH,0.0,klien,2004
Cristiano da Matta,BRA,TOYOTA,0.0,matta,2004
Nick Heidfeld,GER,JORDAN FORD,0.0,heidfeld,2004
Timo Glock,GER,JORDAN FORD,0.0,glock,2004
Zsolt Baumgartner,HUN,MINARDI COSWORTH,0.0,baumgartner,2004
Jacques Villeneuve,CAN,RENAULT,0.0,villeneuve,2004
Ricardo Zonta,BRA,TOYOTA,0.0,zonta,2004
Marc Gene,ESP,WILLIAMS BMW,0.0,gene,2004
Giorgio Pantano,ITA,JORDAN FORD,0.0,pantano,2004
Gianmaria Bruni,ITA,MINARDI COSWORTH,0.0,bruni,2004
Kimi Räikkönen,FIN,MCLAREN MERCEDES,32.0,raikkonen,2003
David Coulthard,GBR,MCLAREN MERCEDES,19.0,coulthard,2003
Michael Schumacher,GER,FERRARI,18.0,michael_schumacher,2003
Fernando Alonso,ESP,RENAULT,17.0,alonso,2003
Rubens Barrichello,BRA,FERRARI,14.0,barrichello,2003
Ralf Schumacher,GER,WILLIAMS BMW,13.0,ralf_schumacher,2003
Giancarlo Fisichella,ITA,JORDAN FORD,10.0,fisichella,2003
Juan Pablo Montoya,COL,WILLIAMS BMW,10.0,montoya,2003
Jarno Trulli,ITA,RENAULT,9.0,trulli,2003
Heinz-Harald Frentzen,GER,SAUBER PETRONAS,7.0,frentzen,2003
Jenson Button,GBR,BAR HONDA,3.0,button,2003
Jacques Villeneuve,CAN,BAR HONDA,3.0,villeneuve,2003
Nick Heidfeld,GER,SAUBER PETRONAS,1.0,heidfeld,2003
Mark Webber,AUS,JAGUAR COSWORTH,0.0,webber,2003
Cristiano da Matta,BRA,TOYOTA,0.0,matta,2003
Olivier Panis,FRA,TOYOTA,0.0,panis,2003
Marc Gene,ESP,WILLIAMS BMW,0.0,gene,2003
Takuma Sato,JPN,BAR HONDA,0.0,sato,2003
Ralph Firman,IRL,JORDAN FORD,0.0,firman,2003
Justin Wilson,GBR,JAGUAR COSWORTH,0.0,wilson,2003
Jos Verstappen,NED,MINARDI COSWORTH,0.0,verstappen,2003
Zsolt Baumgartner,HUN,JORDAN FORD,0.0,baumgartner,2003
Michael Schumacher,GER,FERRARI,34.0,michael_schumacher,2002
Ralf Schumacher,GER,WILLIAMS BMW,20.0,ralf_schumacher,2002
Juan Pablo Montoya,COL,WILLIAMS BMW,17.0,montoya,2002
